Site_ID,ann_GPP,upper_GPP,ann_ER,lower_ER
US-Ha1,1422.41768181818,13.1382,-1207.54690909091,-7.264885
US-KS2,1830.275,8.05533,-1538.0725,-6.62728
US-Los,892.677181818182,8.76624,-868.427818181818,-6.364309
US-Me1,791.3125,4.710605,-695.559,-4.06292
US-Me2,1671.79076923077,9.982132,-1117.76576923077,-8.6911115
US-Me6,959.4868,6.1472675,-712.007,-4.8332975
US-MMS,1723.480625,14.072545,-1293.575625,-7.9413045
US-Myb,1466.481,12.4216,-1394.478,-9.7146
US-Ne1,1541.73584615385,22.30762,-1276.918,-10.60128
US-Ne2,1320.06376923077,21.93568,-1074.46330769231,-9.736498
US-Ne3,1124.17067692308,18.17888,-953.852923076923,-8.433408
US-NR1,844.2536875,6.5536585,-673.40625,-4.938446
US-ORv,887.643,7.048142,-625.39,-3.502448
US-PFa,997.831842105263,9.60999199999999,-987.652789473684,-8.348776
US-Prr,403.2541,4.135901,-283.808,-2.4832965
US-SRG,422.655857142857,5.08510199999999,-412.228857142857,-3.647014
US-SRM,282.740090909091,3.44690049999999,-313.367363636364,-2.6121905
US-Syv,1014.12818181818,12.1141,-1237.169,-10.652005
US-Ton,894.872071428571,6.92542599999999,-747.849642857143,-5.023122
US-Tw1,2379.98333333333,13.701525,-1428.51,-6.7838675
US-Tw2,891.6305,12.4371,-1718.415,-9.67592
US-Tw3,3041.095,15.178795,-2284.81,-9.3013345
US-Tw4,796.518,5.6799755,-1388.1015,-7.15778
US-Twt,1348.45166666667,14.78775,-1443.85166666667,-8.89137
US-UMB,1290.49,12.11452,-1022.81826666667,-6.621098
US-UMd,1478.8125,12.23869,-1076.725,-6.628834
US-Var,691.2422,8.2800475,-724.224866666667,-5.832545
US-WCr,1061.45626153846,12.56162,-823.253113846154,-6.940298
US-Whs,114.78322625,2.4786375,-137.817925,-1.713597
US-Wi0,1577.59,10.38816,-800.739,-5.744046
US-Wi3,1264.905,12.03855,-391.5305,-3.77383
US-Wi4,1873.635,10.4483,-552.967,-4.34605
US-Wi6,558.7905,5.70659,-390.1465,-2.6333515
US-Wi9,892.4185,6.263175,-424.3415,-3.53866
US-Wkg,232.440663636364,3.137822,-224.516727272727,-2.178638
ZA-Kru,902.2724,10.30838,-917.54415,-7.980261
ZM-Mon,1402.03925,8.0962375,-1582.317,-8.2550035
