Site_ID,ann_GPP,upper_GPP,ann_ER,lower_ER
US-Tw2,891.6305,13.84349,-1718.415,-9.67592
US-Tw3,3041.095,15.20386,-2284.81,-9.3013345
US-Tw4,796.518,5.80147,-1388.1015,-7.15778
US-Twt,1348.45166666667,15.55554,-1443.85166666667,-8.89137
US-UMB,1290.49,12.36673,-1022.81826666667,-6.621098
US-UMd,1478.8125,12.50734,-1076.725,-6.628834
US-Var,734.662181818182,8.9814825,-763.956454545455,-5.832545
US-WCr,1148.61458333333,13.31041,-891.687416666667,-6.940298
US-Whs,220.6415,2.529931,-188.889,-1.713597
US-Wi0,1577.59,10.39137,-800.739,-5.744046
US-Wi3,1264.905,12.17035,-391.5305,-3.77383
US-Wi4,1873.635,10.4734,-552.967,-4.34605
US-Wi6,558.7905,6.0488525,-390.1465,-2.6333515
US-Wi9,892.4185,6.3117175,-424.3415,-3.53866
US-Wkg,239.61253,3.4546015,-232.9874,-2.178638
ZM-Mon,1402.03925,8.099247,-1582.317,-8.2550035
