Site_ID,ann_GPP_C,upper_GPP_C,ann_ER_C,lower_ER_C,PAR_sum,Stream_PAR_sum,gpp_C_mean,gpp_C_cv,gpp_C_skew,gpp_C_kurt,gpp_C_amp,gpp_C_phase,gpp_C_ar1,er_C_mean,er_C_cv,er_C_skew,er_C_kurt,er_C_amp,er_C_phase,er_C_ar1,Wtemp_mean,Wtemp_cv,Wtemp_skew,Wtemp_kurt,Wtemp_amp,Wtemp_phase,Wtemp_ar1,Disch_mean,Disch_cv,Disch_skew,Disch_kurt,Disch_amp,Disch_phase,Disch_ar1,PAR_mean,PAR_cv,PAR_skew,PAR_kurt,PAR_amp,PAR_phase,PAR_ar1,LAI_mean,LAI_cv,LAI_skew,LAI_kurt,LAI_amp,LAI_phase,LAI_ar1,MOD_ann_NPP
nwis_041482663,294.170044145332,3.26791280635526,-452.400280961935,-2.71308166360601,11.1126556078272,5.24921397933381,0.81,0.56,0.49,0.25,0.85,122.106038596466,0.768,-1.24,-0.32,-0.21,0.07,1.19,303.682945603886,0.287,11.03,0.41,0,-0.08,1.36,207.190815146332,0.769,0.45,0.68,0.54,0.26,0.66,69.0595869767418,0.705,30.45,0.3,0.08,0.02,1.2,171.787011710069,0.128,1.63,0.56,0.4,0.07,1.2,208.242752496171,0.859,613
nwis_04166500,135.418909359386,1.49088575448474,-590.837759558304,-3.61964711231798,11.5486410477816,10.588451129363,0.37,0.53,0.47,0.28,0.7,116.514415073666,0.613,-1.62,-0.33,-0.23,0.11,1.02,22.7174297043708,0.465,11.23,0.41,0,-0.06,1.36,204.042466731916,0.885,4.71,0.47,0.42,0.22,0.47,72.3945265118616,0.636,31.61,0.3,0.06,0,1.23,174.589749780316,0.208,1.55,0.35,0.08,-0.07,1.36,200.392663492455,0.95,725.78
nwis_04176500,746.309490851425,5.92547526381988,-1224.30489861028,-7.1887203164344,11.8877468217682,11.0775781241597,2.04,0.46,0.23,0.14,0.61,200.405390323508,0.761,-3.35,-0.31,-0.17,0.16,0.53,21.4432022405693,0.775,12.4,0.42,0.02,-0.07,1.37,204.821804613981,0.918,28.02,0.62,0.55,0.3,0.69,65.8960538619835,0.974,32.53,0.29,0.05,0,1.23,176.388624557386,0.194,1.13,0.45,0.29,0.03,1.27,203.350988105408,0.923,612.92
nwis_04195500,385.344093035842,3.92669665557751,-389.484523632059,-2.744342813351,12.0760259153184,11.4630369395798,1.05,0.49,0.43,0.25,0.92,149.545875571007,0.7,-1.06,-0.45,-0.49,0.33,0.71,329.96404045641,0.659,14.24,0.35,0.03,-0.04,1.37,196.874290805783,0.847,9.79,0.69,0.58,0.3,0.88,37.2161608705143,0.692,32.99,0.3,0.03,-0.03,1.27,172.650174906211,0.085,0.73,0.41,0.35,0.07,1.21,208.761446396489,0.84,542.2
nwis_04208000,385.909997313243,2.83803290815923,-455.132899621414,-2.51078198127912,11.3121950522616,10.4139202285238,1.06,0.43,0.26,0.16,0.9,178.983643247617,0.822,-1.24,-0.27,-0.21,0.21,0.72,361.573205958547,0.613,14.33,0.32,-0.05,0,1.29,198.190517985675,0.941,23.41,0.35,0.3,0.2,0.67,34.7135369405902,0.746,30.94,0.3,0.04,-0.03,1.26,176.264149058085,0.21,0.75,0.4,0.1,-0.13,1.37,194.988149570448,0.896,561.433333333333
nwis_04213500,312.129830310544,1.84516661965506,-520.120380929438,-2.87288800618661,10.9829544678,9.02246875684905,0.85,0.39,0.15,0.1,0.8,181.965837364987,0.5,-1.42,-0.28,-0.21,0.16,0.48,293.504994737074,0.525,12.17,0.41,0.05,-0.06,1.35,199.001192906897,0.81,18.52,0.52,0.44,0.24,0.74,37.4417727234585,0.411,30.01,0.3,0.03,-0.02,1.23,171.515830675595,0.16,1.03,0.38,0.14,-0.07,1.38,191.418169917238,0.821,640.3
nwis_04249000,1189.33786610996,9.25696595993534,-1418.36939254306,-8.36318935571983,10.9439030370936,5.04479268932987,3.26,0.46,0.29,0.13,0.61,194.483681597437,0.758,-3.88,-0.37,-0.06,-0.01,1.06,30.8532215429178,0.717,12.23,0.44,0.04,-0.09,1.39,208.86709545654,0.903,196.59,0.38,0.16,0.05,0.76,57.7200325877304,0.929,29.96,0.32,0.08,-0.02,1.2,173.410343047453,0.202,1.57,0.45,0.14,-0.1,1.36,201.242377930992,0.891,757.5
nwis_05057000,182.224173957615,1.41275874861018,-481.969646483556,-3.37797857499202,11.3418403570836,10.4365036571337,0.5,0.5,0.26,0.04,0.49,133.233617444501,0.843,-1.32,-0.43,-0.18,0.04,1.01,16.063893999389,0.854,11.14,0.44,0.09,-0.06,1.33,201.901463821213,0.902,11.25,0.32,0.01,0.06,1.05,205.837718081826,0.947,31.03,0.31,0.08,-0.04,1.27,173.830388923528,0.279,1.34,0.54,0.39,0.06,1.22,201.548892409594,0.871,529.1
nwis_05406457,775.911388019392,5.07733065713632,-1302.71909644253,-6.30277864705546,11.445652768356,6.42986809998454,2.12,0.4,0.17,0.07,1.03,176.061087518574,0.725,-3.57,-0.23,-0.11,0.16,0.87,24.795531105733,0.65,10.49,0.23,-0.03,-0.03,1.28,206.120351259359,0.883,0.36,0.2,0.26,0.23,0.38,129.82197470043,0.848,31.33,0.28,0.06,0,1.22,174.818280262029,0.217,1.12,0.42,0.16,-0.05,1.35,198.52683421623,0.935,598.357142857143
nwis_05406469,226.224052140545,1.67017655711722,-399.692775235164,-2.09863515098238,11.5298031235968,5.38571946298964,0.62,0.41,0.24,0.17,0.76,134.817781779016,0.666,-1.09,-0.28,-0.13,0.1,0.61,107.187354110587,0.552,10.22,0.32,-0.02,-0.07,1.36,206.337904888616,0.712,0.06,0.34,0.51,0.44,0.05,9.33288736020661,0.203,31.55,0.28,0.06,0,1.24,175.087820195011,0.169,1.82,0.42,0.15,-0.02,1.37,202.332782300415,0.907,699.75
nwis_05406479,520.973580841581,2.89164550152233,-671.221010122149,-2.9955489702148,11.5051355340768,9.30902306753206,1.43,0.31,0.1,0.07,1.06,175.203843843695,0.467,-1.84,-0.21,-0.01,0.21,0.73,47.3503083442438,0.523,10.69,0.23,-0.04,-0.02,1.35,207.119721007616,0.77,0.58,0.17,0.32,0.26,0.05,208.631703793844,0.37,31.48,0.28,0.06,0,1.24,174.815422018282,0.168,1.04,0.43,0.24,-0.04,1.33,198.914427431543,0.899,594.75
nwis_05406500,670.759721511974,3.51528709461506,-697.294324352231,-3.05698423535913,11.6385780761208,11.2997352447276,1.84,0.32,0.07,0.07,1.05,165.357510949281,0.6,-1.91,-0.21,-0.01,0.11,1.04,354.88366257834,0.483,10.77,0.29,0.01,0,1.34,195.847982162135,0.81,1.32,0.17,0.24,0.26,0.4,121.783090248348,0.813,31.86,0.28,0.05,-0.01,1.23,174.045552246419,0.196,0.83,0.47,0.3,0.04,1.26,199.850546263855,0.93,557.933333333333
nwis_05435943,394.400096953209,2.62409655807946,-627.00060371959,-2.7474947380678,11.3780401248248,7.40543397159193,1.08,0.37,0.23,0.15,0.8,147.325278220818,0.707,-1.72,-0.2,-0.07,0.15,0.43,3.29480246464799,0.618,11.94,0.23,0,0,1.34,208.997195332117,0.811,0.52,0.3,0.54,0.45,0.2,175.146437608078,0.556,31.14,0.28,0.06,0,1.21,173.684181330648,0.212,0.82,0.43,0.12,-0.06,1.37,198.799631170581,0.929,541.933333333333
nwis_05435950,484.782689251247,2.83088513932426,-561.412512297226,-2.48641029423921,11.372548328694,10.9480473669792,1.33,0.36,0.18,0.09,0.57,183.162745330759,0.841,-1.54,-0.2,-0.13,0.15,0.53,7.72216348462409,0.695,11.08,0.31,-0.02,-0.02,1.27,197.287360633294,0.905,2.02,0.26,0.35,0.32,0.33,139.194836223074,0.813,31.14,0.28,0.06,0,1.21,173.643212374605,0.223,0.86,0.48,0.27,0.02,1.29,201.03686276992,0.94,608.2375
nwis_05515500,66.1102953336257,0.471773625000099,-265.904457185129,-1.21271766768722,11.6449677299088,11.1321194736924,0.18,0.42,0.23,0.06,0.69,196.456713046917,0.738,-0.73,-0.22,-0.12,0.15,0.85,50.0838512417661,0.719,12.33,0.31,-0.01,-0.04,1.35,202.27364966077,0.852,19.49,0.2,0.2,0.18,0.4,84.4199011811973,0.937,31.87,0.28,0.05,0,1.23,175.827170413017,0.181,0.85,0.5,0.34,0.01,1.27,203.654206794828,0.897,598.766666666667
