Site_ID,Name,Lat,Lon,ann_GPP,upper_GPP,ann_ER,lower_ER,ndays,nyears,coverage
DE-SfN,Schechenfilz Nord,47.8064,11.3275,1035.182,6.608427,-724.436,-5.1816,1070,3,0.98
DE-Spw,Spreewald,51.8923,14.0337,1910.786,13.46006,-1370.774,-7.763155,1764,5,0.97
DE-Tha,Tharandt,50.9636,13.5669,1946.65052631579,12.6366,-1321.05647368421,-8.117738,6661,19,0.96
DK-Fou,Foulum,56.4842,9.5872,1081.25,9.622783,-1063.62,-6.576296,334,1,0.92
DK-NuF,Nuuk Fen,64.1308,-51.3861,333.9198,4.019984,-350.7816,-2.68214,1453,5,0.8
DK-Sor,Soroe,55.4859,11.6446,2012.96210526316,16.589335,-1811.23789473684,-10.310445,6388,19,0.92
DK-ZaF,NA,NA,NA,334.706,5.31565,-246.46,-1.94337,1069,4,0.73
DK-ZaH,NA,NA,NA,103.881433333333,1.590714,-115.119888888889,-0.986181,2644,9,0.8
ES-LgS,Laguna Seca,37.0979,-2.9658,460.359,3.3171195,-335.958666666667,-1.92905,1044,3,0.95
FI-Hyy,Hyytiala,61.8475,24.295,1159.51631578947,9.713284,-913.987,-6.140269,6000,19,0.86
FI-Jok,Jokioinen,60.8986,23.5135,434.9235,6.831872,-592.62025,-5.06338,993,4,0.68
FI-Lom,Lompolojänkkä,67.9972,24.2092,455.244,7.010398,-406.786666666667,-3.5925525,765,3,0.7
FI-Sod,Sodankyla,67.3619,26.6378,628.492642857143,6.785406,-711.949642857143,-6.043052,3695,14,0.72
FR-Fon,Fontainebleau-Barbeau,48.4764,2.7801,1816.767,14.31751,-1174.895,-6.9855575,3212,10,0.88
FR-Gri,Grignon,48.8442,1.9519,1565.59111111111,14.698775,-980.633777777778,-6.6992785,3446,10,0.94
FR-LBr,Le Bray (after 6/28/1998),44.7171,-0.7693,1919.31076923077,10.691175,-1516.01230769231,-7.442866,4698,13,0.99
FR-Pue,Puechabon,43.7414,3.5958,1215.60426666667,6.894056,-978.551133333333,-5.290933,5445,15,0.99
GF-Guy,Guyaflux (French Guiana),5.2788,-52.9249,3719.72,13.1323,-3559.65727272727,-13.00139,4017,11,1
IT-BCi,Borgo Cioffi,40.5238,14.9574,1849.58,17.56265,-1589.669,-9.419361,3271,10,0.9
IT-CA1,Castel d'Asso 1,42.3804,12.0266,1470.99,9.8855875,-1073.95325,-5.19992,1436,4,0.98
IT-CA2,Castel d'Asso 2,42.3772,12.026,851.15,8.774166,-819.20275,-4.22547,1297,4,0.89
IT-CA3,Castel d'Asso 3,42.38,12.0222,1226.09475,12.661715,-741.773,-4.56611,1448,4,0.99
IT-Col,Collelongo- Selva Piana,41.8494,13.5881,1635.64210526316,13.11271,-803.039368421053,-4.429568,5808,19,0.84
IT-Cp2,Castelporziano 2,41.7043,12.3573,2087.11333333333,9.193888,-1387.48333333333,-6.2965425,1093,3,1
IT-Cpz,Castelporziano,41.7052,12.3761,2014.72333333333,9.07472,-1452.14111111111,-7.1489235,3281,9,1
IT-Isp,Ispra ABC-IS,45.8126,8.6336,2095.795,15.30206,-2055.51,-9.8841645,669,2,0.92
IT-La2,Lavarone2,45.9542,11.2853,2470.34,12.20959,-1091.64333333333,-7.0348425,1063,3,0.97
IT-Lav,Lavarone,45.9562,11.2813,2245.63583333333,12.57485,-402.45825,-3.128439,4351,12,0.99
IT-MBo,Monte Bondone,46.0147,11.0458,1428.95454545455,12.91221,-1384.71181818182,-9.5795955,3544,11,0.88
IT-Noe,Arca di Noé - Le Prigionette,40.6061,8.1515,1097.71636363636,6.37952,-906.795727272727,-4.1302255,3901,11,0.97
IT-PT1,Parco Ticino forest,45.2009,9.061,1646.42333333333,13.28694,-1123.962,-6.6192775,993,3,0.91
IT-Ren,Renon,46.5869,11.4337,1421.75725,9.683902,-699.7,-4.6193835,3953,12,0.9
IT-Ro1,Roccarespampani 1,42.4081,11.93,1489.01,11.512475,-1219.29144444444,-7.006393,3196,9,0.97
IT-Ro2,Roccarespampani 2,42.3903,11.9209,1460.617,12.477505,-771.6698,-4.53626,3148,10,0.86
